Ticker,Ticker_Name,Factsheet
ACYT41,ACYT41_元大印度基金,https://fundreport.moneydj.com/GetFundMonthReport1.asp?A=ACYT41&b=58818&c=676
ACYT03,ACYT03_元大多多基金,https://fundreport.moneydj.com/GetFundMonthReport1.asp?A=ACYT03&b=58828&c=675
ACYT02,ACYT02_元大多福基金,https://fundreport.moneydj.com/GetFundMonthReport1.asp?A=ACYT02&b=57958&c=677
ACYT26,ACYT26_元大亞太成長基金,https://fundreport.moneydj.com/GetFundMonthReport1.asp?A=ACYT26&b=58823&c=675
ACYT50,ACYT50_元大亞太政府公債指數基金A不配息,https://fundreport.moneydj.com/GetFundMonthReport1.asp?A=ACYT50&b=58814&c=672
ACYT51,ACYT51_元大亞太政府公債指數基金B配息,https://fundreport.moneydj.com/GetFundMonthReport1.asp?A=ACYT51&b=57340&c=666
ACYT119,ACYT119_元大亞太優質高股息100指數基金A不配息(台幣)(基金之收益分配由經理公司得依收益之情況自…,https://fundreport.moneydj.com/GetFundMonthReport1.asp?A=ACYT119&b=58792&c=731
ACYT124,ACYT124_元大亞太優質高股息100指數基金B配息(台幣)(基金之收益分配由經理公司得依收益之情況自行…,https://fundreport.moneydj.com/GetFundMonthReport1.asp?A=ACYT124&b=58792&c=727
ACYT126,ACYT126_元大亞太優質高股息100指數基金B配息(美元)(基金之收益分配由經理公司得依收益之情況自行…,https://fundreport.moneydj.com/GetFundMonthReport1.asp?A=ACYT126&b=58793&c=730
ACYT127,ACYT127_元大亞太優質高股息100指數基金B配息(澳幣)(基金之收益分配由經理公司得依收益之情況自行…,https://fundreport.moneydj.com/GetFundMonthReport1.asp?A=ACYT127&b=58793&c=731
ACYT125,ACYT125_元大亞太優質高股息100指數基金I不配息(台幣)(基金之收益分配由經理公司得依收益之情況自…,https://fundreport.moneydj.com/GetFundMonthReport1.asp?A=ACYT125&b=58792&c=728
ACYT04,ACYT04_元大卓越基金,https://fundreport.moneydj.com/GetFundMonthReport1.asp?A=ACYT04&b=58827&c=675
ACYT07,ACYT07_元大店頭基金,https://fundreport.moneydj.com/GetFundMonthReport1.asp?A=ACYT07&b=58827&c=678
ACYT83,ACYT83_元大美元貨幣市場基金(台幣),https://fundreport.moneydj.com/GetFundMonthReport1.asp?A=ACYT83&b=58802&c=675
ACYT84,ACYT84_元大美元貨幣市場基金(美元),https://fundreport.moneydj.com/GetFundMonthReport1.asp?A=ACYT84&b=58803&c=677
ACYT136,ACYT136_元大美國政府1至3年期債券ETF基金,https://fundreport.moneydj.com/GetFundMonthReport1.asp?A=ACYT136&b=58790&c=728
ACYT99,ACYT99_元大美國政府20年期(以上)債券基金,https://fundreport.moneydj.com/GetFundMonthReport1.asp?A=ACYT99&b=58799&c=697
ACYT101,ACYT101_元大美國政府20年期(以上)債券單日反向1倍基金,https://fundreport.moneydj.com/GetFundMonthReport1.asp?A=ACYT101&b=58798&c=728
ACYT100,ACYT100_元大美國政府20年期(以上)債券單日正向2倍基金,https://fundreport.moneydj.com/GetFundMonthReport1.asp?A=ACYT100&b=58798&c=727
